id,mz_low,mz_high,Name,root_region_intensity,m/z,spec_id
135,457.2285,457.2435,LysoPA(20:4(8Z_11Z_14Z_17Z)/0:0),238.62159729003906,457.236,5e25ab76-e63d-40c6-9af7-b71ef9e8d292
136,461.2598,461.27479999999997,LysoPA(20:2(11Z_14Z)/0:0),152.88034057617188,461.2673,58d39c0d-8d70-4e13-870c-d211e3e446f2
137,463.2755,463.2905,LPA(20:1),196.90328979492188,463.283,1683ef2c-4c83-483f-b891-4953609ea895
138,151.0181,151.0331,Xanthine,297.5170593261719,151.0256,672476a8-5840-4b1f-b93e-1fbb62d51136
139,464.3071,464.3221,LysoPE(P-18:0/0:0),253.1893310546875,464.3146,5604756e-3c51-4ce1-83d3-150061b74a14
140,476.27070000000003,476.2857,LysoPE(0:0/18:2(9Z_12Z)),123.15547180175781,476.2782,6ce3d4af-db99-4630-aad9-e66a662ce9f7
141,478.2864,478.3014,LysoPE(0:0/18:1(11Z)),1120.241943359375,478.2939,b4b8b456-8144-47ae-9066-c7f95502dc11
142,480.302,480.317,LysoPE(0:0/18:0),1141.83935546875,480.3095,05b2adfd-4513-4990-9ba1-ee7684b07b2d
143,481.2285,481.2435,LysoPA(22:6(4Z_7Z_10Z_13Z_16Z_19Z)/0:0),254.84909057617188,481.236,283450d2-26e5-46d4-bc91-6540ef9647f1
145,137.0276,137.0426,Urocanic acid,352.306884765625,137.0351,749b5699-3699-4158-a284-94c8fbe7f480
146,485.2598,485.27479999999997,LysoPA(22:4(7Z_10Z_13Z_16Z)/0:0),144.9684295654297,485.2673,0f6cc3c6-2489-4782-88d1-1f6eb77652d7
148,365.2253,365.2403,Tetrahydrocortisol,126.4183349609375,365.2328,ca9740d6-ffea-4fec-b9c9-b2a8e4dc360b
149,500.27070000000003,500.2857,LysoPE(0:0/20:4(5Z_8Z_11Z_14Z)),876.0260620117188,500.2782,ac929e08-ce8f-48e7-8260-9012b6deacb0
151,504.302,504.317,LysoPE(0:0/20:2(11Z_14Z)),110.81153869628906,504.3095,4b9e6e0f-e072-4818-8e4b-0f80c08d633e
152,505.98040000000003,505.9954,Adenosine triphosphate,103.6885986328125,505.9879,6f5de4d0-4f39-443f-a399-deb8f2776779
153,506.3177,506.3327,LysoPE(0:0/20:1(11Z)),380.0318603515625,506.3252,af701abc-a014-4b71-8244-79cb882d853c
155,508.3333,508.3483,LysoPE(0:0/20:0),187.35975646972656,508.3408,777837aa-7ad7-4f30-963d-706abb264942
161,524.2706999999999,524.2857,LysoPE(0:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1009.5462646484375,524.2782,9698eb8d-6758-46db-8a56-79a8078e769b
164,528.3019999999999,528.317,LysoPE(0:0/22:4(7Z_10Z_13Z_16Z)),413.46820068359375,528.3095,b6cd3c4e-1530-4021-9169-6f5c90d7ab0e
165,532.3332999999999,532.3483,LysoPE(0:0/22:2(13Z_16Z)),41.82512664794922,532.3408,4cad8cfd-e24d-4c62-a873-273be13c2f2f
166,534.3489999999999,534.364,LysoPE(0:0/22:1(13Z)),60.32596206665039,534.3565,f740d686-fb42-46eb-976f-19899a5de9de
167,540.0455,540.0605,Cyclic ADP-ribose,122.3318862915039,540.053,2ecd50d6-ea40-49d4-98b2-deb3e03191ea
169,552.2656999999999,552.2807,PE(23:6),251.60569763183594,552.2732,c670bed1-6bde-4156-b51d-84cdbeb17757
170,554.3177,554.3327,LPE(24:5),87.79151153564453,554.3252,fca6e6ed-2a49-4c95-b14f-c15a9a9a1c19
173,402.9874,403.00239999999997,Uridine 5'-diphosphate,446.91412353515625,402.9949,7b53a1ed-1289-4497-9259-335526094da3
179,599.3127,599.3277,LysoPI(0:0/18:0),581.03955078125,599.3202,9a2d38ed-ace9-483d-b96c-18c82a7fb7f9
181,615.1619999999999,615.177,Heme,142.06883239746094,615.1695,45facb33-dea5-4399-b3a7-ef83f07f2069
182,619.2814,619.2964000000001,LPI(20:4),221.37147521972656,619.2889,956481a2-16bb-4793-ac4a-9e4172246fdf
183,647.4581999999999,647.4732,PA(16:0/16:0),248.03775024414062,647.4657,9b434fce-6319-45af-983b-7fc0b4e9b6c3
186,673.4739,673.4889000000001,PA(16:0/18:1(11Z)),681.6631469726562,673.4814,1b0df597-1da6-4c7d-8309-f9a9fac5cde2
191,699.4894999999999,699.5045,PA(18:0/18:2(9Z_12Z)),593.3605346679688,699.497,e4603db1-8abf-4dc5-b648-6305785fb508
192,701.5052,701.5202,PA(14:0/22:1(13Z)),846.6197509765625,701.5127,ca7d0c01-b4a8-4d5d-8313-d6f8f9b1b681
214,744.5473999999999,744.5624,PE(14:0/22:1(13Z)),971.1410522460938,744.5549,ee3d8ba2-bc92-4130-8ea9-39109e0a43f0
220,747.4894999999999,747.5045,PA(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1399.84033203125,747.497,e094fca0-2140-45e3-b486-fdc2b8b9493a
229,762.5003999999999,762.5154,PE(16:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),401.3384704589844,762.5079,9a92c85d-b28e-4ec3-8cf2-a033ff843143
231,766.5317,766.5467000000001,PE(16:0/22:4(7Z_10Z_13Z_16Z)),1094.1656494140625,766.5392,6cdf0631-bd4e-408e-b868-ab5bbc027c91
252,790.5317,790.5467000000001,PE(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1321.8914794921875,790.5392,02a0a355-0cc6-4a40-b59e-4c7415340f2d
296,885.5423,885.5573,PI(16:0/22:4(10Z_13Z_16Z_19Z)),6010.853515625,885.5498,38663ff5-6243-40b8-b7ee-c3b9049eb3a5
303,913.5735999999999,913.5886,PI(18:0/22:4(10Z_13Z_16Z_19Z)),91.47907257080078,913.5811,564b209d-4df1-4fbe-a538-738ea3732187
316,1045.4519620715394,1045.5085489523324,Phosphatidylinositol-4_5-bisphosphate,101.00103759765625,1045.482,ac8ff8ad-10b4-461d-9b9c-2fd4c38e75f6
317,965.4934352022058,965.5411977251838,PIP(16:0/22:4(10Z_13Z_16Z_19Z)),151.2910919189453,965.5162,e2bcb790-9b59-47fe-bd42-421a5bd41a0d
318,944.4735531077666,944.5422896082262,PS 49:15,245.6290740966797,944.5447,fcdea086-eb64-4f99-a3b9-4af48840926f
319,913.5577536190258,913.6017782054229,PI(22:4(7Z_10Z_13Z_16Z)/18:0),155.62069702148438,913.5809,fbe43e28-0f0f-4231-add0-60acf8015c0b
320,909.5333347110297,909.5639813761072,PI(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),236.09945678710938,909.5498,9da2e067-7a7e-4ada-9023-072a3ddc7f74
321,907.506239757197,907.5523444919829,PI(40:7),155.0325164794922,907.5342,8251159e-f9c0-4580-841b-82bf4941dc6e
322,883.5217198581561,883.5462516622341,PI(16:0/22:5(4Z_7Z_10Z_13Z_16Z)),906.5685424804688,883.5342,edaeaf8e-453c-4d0d-af24-ff66847e2be6
323,881.5001819520485,881.534770719273,PI(38:6),223.38218688964844,881.5185,b450bd81-a18c-470b-8bdd-701d7fdd96c8
324,878.4790693420601,878.5131097392976,PS(22:6(4Z_7Z_10Z_13Z_16Z_19Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),116.63384246826172,878.4977,2d47fb93-a641-4ce4-a761-ac38695a6522
325,872.6092243508731,872.648695858226,PS(18:0/24:1(15Z)),125.23977661132812,872.6386,32a60e4e-f597-46ad-9d9e-14cde0d2a95d
326,863.546146473986,863.5810533888797,PI(36:1),277.852783203125,863.5655,63d63499-35e4-45ee-9c51-51e1d42275d8
327,861.5313960999015,861.5640471210629,PI(16:0/20:2(11Z_14Z)),260.27252197265625,861.5498,61f0eded-d6a0-4683-85e0-08dbb271a263
328,860.6221755007481,860.6494222870956,PS(41:0),86.20869445800781,860.6386,cbdafb45-f06b-42a0-8347-fc140375992c
329,857.5059358620946,857.5313434842267,PI(16:0/20:4(5Z_8Z_11Z_14Z)),992.3607177734375,857.5185,dcb373ac-67b6-4a51-a565-8c3c967e6646
330,855.4830009191177,855.5192876838236,PI(36:5),156.02598571777344,855.5029,82d83d41-d5a8-4bd4-b73e-cb2d9f159348
331,844.624230526195,844.6699750114891,PS(20:0/20:1(11Z)),109.19851684570312,844.6437,9acd6ef5-03f9-4887-bef5-a774492509ad
332,844.5854345703126,844.6263536879596,PS(16:0/24:1(15Z)),119.05955505371094,844.6073,7525b3ea-7867-4fc2-a35d-4de4a4aceb2c
